id,x,y,width,height,text,type
0,0,24,477,60,Gun deaths in Florida,u
1,0,98,467,40,Number ofmurders committed using firearms,u
2,14,240,36,24,200,u
3,356,272,60,24,2005,u
4,356,295,170,31,Florida enacted,u
5,354,324,160,28,its 'Stand Your,u
6,15,341,34,20,400,u
7,356,352,134,26,Ground' law,u
8,15,441,34,20,600,u
9,530,512,46,32,721,u
10,14,540,36,24,800,u
11,56,594,46,24,873,u
12,2,640,48,24,"1,000",u
13,141,653,52,20,1990s,u
14,367,653,54,20,2000s,u
15,499,653,54,20,2010s,u
16,0,696,412,28,Source: Florida Department of Law Enforcement,u
17,1,737,138,18,C. Cnan 16/02/2014,u
18,532,735,61,20,REUTERS,u
